page_slug,page_tier,page_title,primary_keyword,secondary_keywords,search_volume,keyword_difficulty,intent
,hub,Home,seo sydney,"seo agency sydney|seo company sydney|seo services sydney|digital marketing agency sydney",18900,45,commercial
seo-sydney,1,SEO Sydney,seo sydney,"seo agency sydney|sydney seo|best seo sydney|seo specialist sydney",13500,50,commercial
seo-services-sydney,1,SEO Services Sydney,seo services sydney,"seo services|sydney seo services|what does seo include",2400,41,commercial
seo-packages-sydney,1,SEO Packages and Pricing Sydney,seo packages sydney,"seo pricing sydney|how much does seo cost|affordable seo sydney|seo cost",1500,30,commercial
local-seo-sydney,1,Local SEO Sydney,local seo sydney,"local seo|google business profile optimisation|gbp sydney|local seo australia",2900,17,commercial
seo-for-tradies,1,SEO for Tradies,seo for tradies,"tradie seo|seo for tradesmen|seo for home services|seo for trades",720,10,commercial
seo-for-plumbers,1,SEO for Plumbers,seo for plumbers,"plumber seo|seo plumbing|plumber marketing sydney|plumber lead generation",390,5,commercial
seo-for-electricians,1,SEO for Electricians,seo for electricians,"electrician seo|electrical seo|electrician marketing|electrician lead generation",390,6,commercial
seo-for-vets,2,SEO for Vets,seo for vets,"vet seo|veterinary seo|seo for veterinary clinics|vet marketing",170,12,commercial
seo-for-pest-control,2,SEO for Pest Control,seo for pest control,"pest control seo|pest control marketing|pest control lead generation",110,9,commercial
answer-engine-optimisation,1,Answer Engine Optimisation (AEO),answer engine optimisation,"aeo|ai seo|answer engine|ai overviews seo|ai search optimisation",1000,28,informational
generative-engine-optimisation,1,Generative Engine Optimisation (GEO),generative engine optimisation,"geo agency|geo seo|gpt seo|chatgpt optimisation|perplexity seo",320,14,informational
seo-consultant-sydney,1,SEO Consultant Sydney,seo consultant sydney,"sydney seo consultant|freelance seo sydney|seo expert sydney",1600,24,commercial
